"Authors","Journal","YearPublication","DOI_ISBN"
"Albrecht; Knight; Bernardo","Biol Conserv","2016","10.1016/j.biocon.2016.09.030"
"Tolvanen; Schroderus; Henry","J Veg Sci","2001","10.2307/3236906"
"Halsey; Bell; McEachern; Pavlovic","Ecosphere","2016","10.1002/ecs2.1536"
"Bladow; Bohner; Winn","Bio One","2017","10.3375/043.037.0305"
"Rodriguez-Perez; Traveset","Oikos","2012","10.1111/j.1600-0706.2011.19946.x"
"Dostálek; Münzbergová","Folia Geobot","2013","10.1007/s12224-012-9132-2"
"Weppler; Stoll; Stocklin","J Ecol","2006","10.1111/j.1365-2745.2006.01134.x"
"CITES","Plants Committee","2008",NA
"Baldauf; Correa; Ferreira; Santos","Forest Ecol Manag","2015","10.1016/j.foreco.2015.06.022"
"Osunkoya; Perrett; Fernando; Clark; Raghu","Popul Ecol","2013","10.1007/s10144-013-0364-7"
"Peterson; Kay; Angert","New Phytol","2016","10.1111/nph.13971"
"Castle",NA,"2006",NA
"Jackson; Pearson; Turner","Forest Ecol Manag","2013","10.1016/j.foreco.2013.05.049"
"Plank",NA,"2010",NA
"Ott; Hartnett","Am Midl Nat","2015","10.1674/0003-0031-174.1.14"
"Tenhumberg; Crone; Ramula; Tyre","Ecology","2018","10.1002/ecy.2163"
"Prevéy; Seastedt","Popul Ecol","2015","10.1007/s00442-015-3398-z"
"Fréville; Colas; Riba; Caswell; Mignot; Imbert; Olivieri","Ecology","2004","10.1890/03-0119"
"Belaid; Maurice; Fréville; Carbonell; Imbert","Biol Conserv","2018","10.1016/j.biocon.2018.04.019"
"Shefferson; Kull; Tali; Kellett","Ecosphere","2012","10.1890/ES11-00328.1"
"Bladow","Master Thesis","2010",NA
"Mondragón; Maldonado; Aguilar-Santelises","Selbyana","2007","10.1111/boj.12204"
"Ramirez-Bullon",NA,"2016",NA
"McCauley; Ungar","Restor Ecol","2002",NA
"Crain; Tremblay; Ferguson","Popul Ecol","2018","10.1002/1438-390X.1002"
"Heinken-Smidova; Münzbergová","Folia Geobot","2012","10.1007/s12224-011-9116-7"
"Hughes; Figueira; Jacobi; Borba","Braz J Bot","2018","10.1007/s40415-018-0483-7"
"Pellegrino; Bellusci","Bot J Linn Soc","2014","10.1111/boj.12204"
"Giménez-Benavides; Albert; Iriondo; Escudero","Ecography","2011","10.1111/j.1600-0587.2010.06250.x"
"Knight","Am J Bot","2003","10.3732/ajb.90.8.1207"
"Lamar; McGraw","Forest Ecol Manag","2005","10.1016/j.foreco.2005.02.056"
"Dostál","J Veg Sci","2007","10.1111/j.1654-1103.2007.tb02519.x"
"Steets; Knight; Ashman","Am Nat","2007","10.1086/518178"
"Prendeville; Tenhumberg; Pilson","New Phytol","2014","10.1111/nph.12730"
"Okland","Lindbergia","1997",NA
"Winkler; Hülber; Hietz","Ann Bot-London","2009","10.1093/aob/mcp188"
"Bucharová; Münzbergová; Tájek","Am J Bot","2010","10.3732/ajb.0900351"
"Guardia; Raventós; Caswell","J Ecol","2000","10.1046/j.1365-2745.2000.00504.x"
"Mayberry; Elle","Oecologia","2010","10.1007/s00442-010-1809-8"
"Fröborg; Eriksson","Can J Bot","2003","10.1139/B03-099"
"Iriondo; Giménez-Benavides; Albert; Lozano; Escudero",NA,"2009","978-84-8014-746-0"
"Ticktin; Nantel","Biol Conserv","2004","10.1016/j.biocon.2004.03.019"
"Kiviniemi","Plant Ecol","2002","10.1023/A:1015506019670"
"Evans; Davis; Raghu; Ragavendran; Landis; Schemske","Ecol Appl","2012","10.1890/11-1291.1"
"Černá; Münzbergová","PLOS ONE","2013","10.1371/journal.pone.0075563"
"Marcante; Winkler; Erschbamer","Annals Bot","2009","10.1093/aob/mcp047"
"Bierzychudek","Ecol Monogr","1982","10.2307/2937350"
"Damman; Cain","J Ecol","1998","10.1046/j.1365-2745.1998.00242.x"
"Münzbergová","Annals Bot","2007","10.1093/aob/mcm204"
"Nicolè",NA,"2005",NA
"Lesica","Great Basin Nat","1995",NA
"Crone; Lesica","Ecology","2004","10.1890/03-0256"
"Kaye; Pyke","Ecology","2003","10.1890/0012-9658(2003)084[1464:TEOSTO]2.0.CO;2"
"Noel; Maurice; Mignot; Glémin; Carbonell; Justy; Guyot; Olivieri; Petit","Conserv Genet","2010","10.1007/s10592-010-0056-1"
"Horvitz; Schemske","Ecol Monogr","1995","10.2307/2937136"
"Miller; Antos; Allen",NA,"2004",NA
"Svensson; Wikberg","Plant Ecol","2006","10.1007/s11258-005-9006-2"
"Jongejans; Jorritsma-Wienk; Becker; Dostál; Mildén","J Ecol","2010","10.1111/j.1365-2745.2009.01612.x"
"Jongejans; de Kroon","J Ecol","2005","10.1111/j.1365-2745.2005.01003.x"
"Liu; Menges; Quintana-Ascencio","Ecol Appl","2005","10.1890/03-5382"
"Cook",NA,"1993",NA
"Jongejans; de Vere; de Kroon","Plant Ecol","2008","10.1007/s11258-008-9397-y"
"Ramula","Acta Oecol","2008","10.1016/j.actao.2007.11.005"
"Bell; Bowles; McEachern",NA,"2003","10.1007/978-3-662-09389-4_12"
"Ellis; Williams; Lesica; Bell; Bierzychudek; Bowles; Crone; Doak; Ehrlén; Ellis-Adam; McEachern; Ganesan; Latham; Luijten; Kaye; Knight; Menges; Morris; den Nijs; Oostermeijer; Quintana-Ascencio; Shelly; Stanley; Thorpe; Ticktin; Valverde; Weekley","Ecology","2012","10.1890/11-1052.1"
"Wells; Willems",NA,"1991","90-5103-068-1"
"Nicolè; Brzosko; Till-Bottraud","J Ecol","2005","10.1111/j.1365-2745.2005.01010.x"
